year,uk,world
1876,33276322,1382459121
1877,33602176,1390028839
1878,33931221,1397666358
1879,34250722,1405838237
1880,34560483,1414583216
1881,34860309,1423919001
1882,35149998,1433850986
1883,35429349,1444371648
1884,35710919,1455021634
1885,35994727,1465857041
1886,36280791,1476798447
1887,36569128,1487893376
1888,36859757,1499115427
1889,37163257,1510109709
1890,37479831,1520891633
1891,37809681,1531425085
1892,38153013,1541712153
1893,38510036,1551756342
1894,38870400,1561938512
1895,39234136,1572272041
1896,39601276,1582693744
1897,39971851,1593261169
1898,40345894,1603953574
1899,40718496,1615300901
1900,41089602,1627273655
1901,41459153,1639887187
1902,41827091,1653151632
1903,42193357,1667064512
1904,42562831,1681154888
1905,42935539,1695427510
1906,43311511,1709887300
1907,43690776,1724558347
1908,44073361,1739441480
1909,44417852,1753729257
1910,44723743,1767417985
1911,44990527,1780422213
1912,45217688,1792912374
1913,45404707,1804803374
1914,45592500,1816884694
1915,45781070,1829102909
1916,45970420,1841395693
1917,46160552,1853777065
1918,46352692,1866778878
1919,46487478,1880624916
1920,46564792,1895426673
1921,46584515,1910916276
1922,46546526,1927207651
1923,46450703,1944216846
1924,46355077,1961489200
1925,46259648,1979027667
1926,46164416,1996813608
1927,46069379,2014848732
1928,45974538,2033160306
1929,45944804,2052125441
1930,45980369,2071786711
1931,46081427,2092158599
1932,46248173,2113215566
1933,46480802,2134919626
1934,46714602,2156892673
1935,46949578,2179140887
1936,47185735,2201762907
1937,47423081,2224730578
1938,47661620,2248127325
1939,47890226,2270675197
1940,48108804,2291979566
1941,48317261,2312098978
1942,48515502,2331135363
1943,48703433,2349014611
1944,48892093,2366918849
1945,49081483,2384671779
1946,49271606,2402301767
1947,49462466,2421291820
1948,49654066,2441897177
1949,49851583,2467923023
1950,50121020,2493092852
1951,50346821,2536927034
1952,50496231,2584086340
1953,50727035,2634106241
1954,50958246,2685894857
1955,51176749,2740213796
1956,51400458,2795409991
1957,51655911,2852618331
1958,51935640,2911249671
1959,52226466,2965950350
1960,52538548,3015470889
1961,52884952,3064869675
1962,53272836,3123374312
1963,53652939,3192807826
1964,54009130,3264487343
1965,54359022,3334533710
1966,54676346,3404041131
1967,54973661,3473412877
1968,55240654,3545187246
1969,55456208,3619491581
1970,55663801,3694683794
1971,55890372,3769847867
1972,56079239,3844917684
1973,56188787,3920805041
1974,56224550,3996416100
1975,56220139,4070735279
1976,56201143,4144246382
1977,56175829,4217863796
1978,56175553,4292097499
1979,56218759,4368539520
1980,56282102,4447606240
1981,56304590,4528777306
1982,56292761,4612673415
1983,56332060,4697327573
1984,56451312,4782175518
1985,56606416,4868943457
1986,56751926,4958072839
1987,56886021,5049746390
1988,57026539,5141992540
1989,57182137,5234431736
1990,57367867,5327803106
1991,57555199,5418735886
1992,57719273,5505989815
1993,57861037,5591544802
1994,58003200,5675551258
1995,58154632,5758878977
1996,58298563,5842055730
1997,58447091,5924787819
1998,58626822,6007066691
1999,58838663,6089006328
2000,59057333,6171702992
2001,59288095,6254936464
2002,59540764,6337730343
2003,59820385,6420361633
2004,60169964,6503377774
2005,60596107,6586970132
2006,61051093,6671452019
2007,61535859,6757308776
2008,62027303,6844457659
2009,62506222,6932766416
2010,63006482,7021732143
2011,63509285,7110923773
2012,63960488,7201202478
2013,64389386,7291793585
2014,64865914,7381616239
2015,65382107,7470491876
2016,65893359,7558554527
2017,66354473,7645617952
2018,66752473,7729902779
2019,67110958,7811293699
2020,67351860,7887001289
2021,67668788,7954448387
2022,68179315,8021407196
2023,68682965,8091734933
2024,69138185,8161972574
2025,69551334,8231613067
