year,day,time,speed_ms
2006,10,218,0.00
2006,10,248,0.00
2006,10,318,0.45
2006,10,348,0.00
2006,10,418,0.00
2006,10,448,0.00
2006,10,518,0.00
2006,10,548,0.00
2006,10,618,0.00
2006,10,648,0.00
2006,10,718,0.00
2006,10,748,0.00
2006,10,818,0.00
2006,10,848,0.00
2006,10,918,0.00
2006,10,948,0.00
2006,10,1018,0.00
2006,10,1048,0.00
2006,10,1118,0.00
2006,10,1148,0.00
2006,10,1218,0.00
2006,10,1248,0.00
2006,10,1318,0.00
2006,10,1348,0.45
2006,10,1418,0.00
2006,10,1448,0.00
2006,10,1518,0.00
2006,10,1548,0.00
2006,10,1618,0.00
2006,10,1648,0.00
2006,10,1718,0.45
2006,10,1748,0.45
2006,10,1818,0.45
2006,10,1848,0.00
2006,10,1918,0.00
2006,10,1948,0.45
2006,10,2018,0.45
2006,10,2048,0.45
2006,10,2118,0.45
2006,10,2148,0.00
2006,10,2218,0.00
2006,10,2248,0.45
2006,10,2318,0.00
2006,10,2348,0.00
2006,11,18,0.00
2006,11,48,0.45
2006,11,118,0.45
2006,11,148,0.00
2006,11,218,0.00
2006,11,248,0.00
2006,11,318,0.00
2006,11,348,0.00
2006,11,418,0.00
2006,11,448,0.00
2006,11,518,0.00
2006,11,548,0.00
2006,11,618,0.00
2006,11,648,0.00
2006,11,718,0.00
2006,11,748,0.00
2006,11,818,0.00
2006,11,848,0.00
2006,11,918,0.00
2006,11,948,0.00
2006,11,1018,0.00
2006,11,1048,0.00
2006,11,1118,0.00
2006,11,1148,0.00
2006,11,1218,0.00
2006,11,1248,0.00
2006,11,1318,0.00
2006,11,1348,0.00
2006,11,1418,0.00
2006,11,1448,0.00
2006,11,1518,0.00
2006,11,1548,0.00
2006,11,1618,0.00
2006,11,1648,0.00
2006,11,1718,0.00
2006,11,1748,0.00
2006,11,1818,0.00
2006,11,1848,0.00
2006,11,1918,0.00
2006,11,1948,0.00
2006,11,2018,0.00
2006,11,2048,0.00
2006,11,2118,0.00
2006,11,2148,0.00
2006,11,2218,0.00
2006,11,2248,0.00
2006,11,2318,0.00
2006,11,2348,0.00
2006,12,18,0.00
2006,12,48,0.00
2006,12,118,0.00
2006,12,148,0.00
2006,12,218,0.00
2006,12,248,0.00
2006,12,318,0.00
2006,12,348,0.00
2006,12,418,0.00
2006,12,448,0.00
2006,12,518,0.45
2006,12,548,0.00
2006,12,618,0.00
2006,12,648,0.00
2006,12,718,0.00
2006,12,748,0.00
2006,12,818,0.00
2006,12,848,0.00
2006,12,918,0.00
2006,12,948,0.00
2006,12,1018,0.00
2006,12,1048,0.00
2006,12,1118,0.00
2006,12,1148,0.00
2006,12,1218,0.00
2006,12,1248,0.00
2006,12,1318,0.00
2006,12,1348,0.00
2006,12,1418,0.00
2006,12,1448,0.00
2006,12,1518,0.00
2006,12,1548,0.00
2006,12,1618,0.00
2006,12,1648,0.00
2006,12,1718,0.00
2006,12,1748,0.00
2006,12,1818,0.00
2006,12,1848,0.00
2006,12,1918,0.00
2006,12,1948,0.00
2006,12,2018,0.00
2006,12,2048,0.00
2006,12,2118,0.00
2006,12,2148,0.00
2006,12,2218,0.00
2006,12,2248,0.00
2006,12,2318,0.00
2006,12,2348,0.00
2006,13,18,0.00
2006,13,48,0.00
2006,13,118,0.00
2006,13,148,0.00
2006,13,218,0.00
2006,13,248,0.00
2006,13,318,0.00
2006,13,348,0.00
2006,13,418,0.00
2006,13,448,0.00
2006,13,518,0.00
2006,13,548,0.00
2006,13,618,0.00
2006,13,648,0.00
2006,13,718,0.00
2006,13,748,0.00
2006,13,818,0.00
2006,13,848,0.00
2006,13,918,0.00
2006,13,948,0.00
