year,source,twh
2010,Solar,0
2010,Hydropower,4
2010,Bioenergy,12
2011,Coal,108
2011,Gas,147
2011,Nuclear,69
2011,Wind,16
2011,Solar,0
2011,Hydropower,6
2011,Bioenergy,13
2012,Coal,143
2012,Gas,100
2012,Nuclear,70
2012,Wind,20
2012,Solar,1
2012,Hydropower,5
2012,Bioenergy,15
2013,Coal,130
2013,Gas,96
2013,Nuclear,71
2013,Wind,28
2013,Solar,2
2013,Hydropower,5
2013,Bioenergy,18
2014,Coal,100
2014,Gas,101
2014,Nuclear,64
2014,Wind,32
2014,Solar,4
2014,Hydropower,6
2014,Bioenergy,23
2015,Coal,76
2015,Gas,100
2015,Nuclear,70
2015,Wind,40
2015,Solar,8
2015,Hydropower,6
2015,Bioenergy,29
2016,Coal,31
2016,Gas,143
2016,Nuclear,72
2016,Wind,37
2016,Solar,10
2016,Hydropower,5
2016,Bioenergy,30
2017,Coal,23
2017,Gas,137
2017,Nuclear,70
2017,Wind,50
2017,Solar,11
2017,Hydropower,6
2017,Bioenergy,32
2018,Coal,17
2018,Gas,131
2018,Nuclear,65
2018,Wind,57
2018,Solar,13
2018,Hydropower,5
2018,Bioenergy,35
2019,Coal,7
2019,Gas,133
2019,Nuclear,56
2019,Wind,64
2019,Solar,12
2019,Hydropower,6
2019,Bioenergy,38
2020,Coal,6
2020,Gas,112
2020,Nuclear,50
2020,Wind,76
2020,Solar,13
2020,Hydropower,7
2020,Bioenergy,39
2021,Coal,7
2021,Gas,123
2021,Nuclear,46
2021,Wind,65
2021,Solar,12
2021,Hydropower,5
2021,Bioenergy,40
2022,Coal,6
2022,Gas,125
2022,Nuclear,47
2022,Wind,80
2022,Solar,13
2022,Hydropower,6
2022,Bioenergy,36
2023,Coal,4
2023,Gas,102
2023,Nuclear,41
2023,Wind,82
2023,Solar,14
2023,Hydropower,6
2023,Bioenergy,34
2024,Coal,2
2024,Gas,86
2024,Nuclear,41
2024,Wind,83
2024,Solar,15
2024,Hydropower,6
2024,Bioenergy,40
2025,Coal,0
2025,Gas,91
2025,Nuclear,36
2025,Wind,86
2025,Solar,19
2025,Hydropower,6
2025,Bioenergy,41
