country,year,kwh_d,gdp
Japan,1990,97.71,36138
Japan,1991,98.95,37226
Japan,1992,100.36,37403
Japan,1993,99.36,37089
Japan,1994,104.57,37353
Japan,1995,105.53,38138
Japan,1996,107.25,39222
Japan,1997,107.51,39662
Japan,1998,104.48,38853
Japan,1999,107.18,38647
Japan,2000,109.18,39732
Japan,2001,107.72,39749
Japan,2002,107.77,39690
Japan,2003,111.84,40152
Japan,2004,110.20,40987
Japan,2005,112.66,41740
Japan,2006,111.31,42359
Japan,2007,111.88,43042
Japan,2008,110.97,42519
Japan,2009,98.91,40000
Japan,2010,104.81,41647
Japan,2011,106.07,41641
Japan,2012,113.49,42395
Japan,2013,112.15,43304
Japan,2014,109.29,43754
Japan,2015,106.81,44589
Japan,2016,104.82,44927
Japan,2017,104.58,45693
Japan,2018,102.33,46133
Japan,2019,98.95,46055
Japan,2020,91.73,44213
Japan,2021,94.99,45999
Japan,2022,94.71,46819
Japan,2023,90.21,47387
Japan,2024,88.66,47480
Japan,2025,87.30,48283
United Kingdom,1990,110.07,33531
United Kingdom,1991,111.65,32995
United Kingdom,1992,109.58,33332
United Kingdom,1993,109.09,34413
United Kingdom,1994,107.33,36026
United Kingdom,1995,107.41,37200
United Kingdom,1996,112.34,38076
United Kingdom,1997,109.21,39831
United Kingdom,1998,109.50,41005
United Kingdom,1999,108.96,42072
United Kingdom,2000,110.99,43818
United Kingdom,2001,111.30,44694
United Kingdom,2002,108.17,45265
United Kingdom,2003,109.41,46505
United Kingdom,2004,110.47,47317
United Kingdom,2005,110.14,48305
United Kingdom,2006,108.40,49001
United Kingdom,2007,105.52,50046
United Kingdom,2008,103.48,49629
United Kingdom,2009,94.49,46996
United Kingdom,2010,96.75,47683
United Kingdom,2011,88.00,47714
United Kingdom,2012,88.68,48100
United Kingdom,2013,86.84,48601
United Kingdom,2014,79.82,49763
United Kingdom,2015,77.58,50463
United Kingdom,2016,75.42,51168
United Kingdom,2017,73.52,52429
United Kingdom,2018,72.07,52983
United Kingdom,2019,69.12,53374
United Kingdom,2020,59.57,47931
United Kingdom,2021,61.30,51840
United Kingdom,2022,59.88,53980
United Kingdom,2023,56.83,53423
United Kingdom,2024,55.38,53412
United Kingdom,2025,54.30,53993
United States,1990,214.33,44384
United States,1991,210.30,43748
United States,1992,212.03,44665
United States,1993,213.91,45293
United States,1994,215.70,46543
United States,1995,216.30,47227
United States,1996,221.39,48442
United States,1997,222.20,49991
United States,1998,221.32,51626
United States,1999,222.14,53481
United States,2000,226.09,55046
United States,2001,219.21,55024
United States,2002,218.98,55443
United States,2003,217.76,56505
United States,2004,219.92,58139
United States,2005,217.87,59612
United States,2006,212.67,60684
United States,2007,214.03,61314
United States,2008,204.82,60806
United States,2009,190.33,58722
United States,2010,195.33,59797
United States,2011,189.73,60253
United States,2012,183.10,61142
United States,2013,185.90,61967
United States,2014,185.91,63027
United States,2015,181.92,64368
United States,2016,178.25,65026
United States,2017,175.77,66164
United States,2018,181.63,67728
United States,2019,178.01,69121
United States,2020,160.98,67407
United States,2021,170.51,71441
United States,2022,172.37,72829
United States,2023,168.50,74352
United States,2024,168.44,75698
United States,2025,171.02,76931
