year,bin,klass,n
2025,35,phev,42782
2025,40,phev,18865
2025,45,phev,19818
2025,50,ice,139
2025,50,phev,17513
2025,55,ice,13643
2025,55,phev,18330
2025,60,ice,115
2025,60,phev,9830
2025,65,ice,320
2025,65,phev,13182
2025,70,ice,26
2025,70,phev,6318
2025,75,ice,2
2025,75,phev,1688
2025,80,ice,30
2025,80,phev,1044
2025,85,ice,66747
2025,85,phev,3972
2025,90,ice,64081
2025,90,phev,3622
2025,95,ice,154342
2025,95,phev,6431
2025,100,ice,421534
2025,100,phev,6918
2025,105,ice,667787
2025,105,phev,8912
2025,110,ice,566459
2025,110,phev,9262
2025,115,ice,765910
2025,115,phev,4545
2025,120,ice,873478
2025,120,phev,6152
2025,125,ice,896923
2025,125,phev,4897
2025,130,ice,698899
2025,130,phev,6516
2025,135,ice,526717
2025,135,phev,8735
2025,140,ice,423481
2025,140,phev,4881
2025,145,ice,284223
2025,145,phev,2522
2025,150,ice,216591
2025,150,phev,2122
2025,155,ice,213945
2025,155,phev,2327
2025,160,ice,115380
2025,160,phev,842
2025,165,ice,80899
2025,165,phev,1571
2025,170,ice,106108
2025,170,phev,1067
2025,175,ice,69367
2025,175,phev,629
2025,180,ice,57339
2025,180,phev,557
2025,185,ice,49501
2025,185,phev,439
2025,190,ice,75655
2025,190,phev,393
2025,195,ice,59048
2025,195,phev,599
2025,200,ice,29892
2025,200,phev,437
2025,205,ice,18017
2025,205,phev,276
2025,210,ice,33943
2025,210,phev,335
2025,215,ice,25966
2025,215,phev,312
2025,220,ice,18436
2025,220,phev,463
2025,225,ice,15319
2025,225,phev,383
2025,230,ice,15914
2025,230,phev,358
2025,235,ice,13545
2025,235,phev,379
2025,240,ice,9334
2025,240,phev,232
2025,245,ice,3588
2025,245,phev,57
2025,250,ice,2461
2025,250,phev,130
2025,255,ice,2436
2025,255,phev,45
2025,260,ice,2101
2025,260,phev,74
2025,265,ice,3667
2025,265,phev,80
2025,270,ice,1516
2025,270,phev,51
2025,275,ice,7864
2025,275,phev,361
2025,280,ice,8076
2025,280,phev,41
2025,285,ice,5320
2025,285,phev,35
2025,290,ice,2920
2025,290,phev,90
2025,295,ice,4101
2025,295,phev,18
2025,300,ice,2141
2025,300,phev,24
2025,305,ice,2138
2025,305,phev,16
2025,310,ice,3256
2025,310,phev,26
2025,315,ice,1290
2025,315,phev,27
2025,320,ice,2383
2025,320,phev,4
2025,325,ice,469
2025,325,phev,1
2025,330,ice,596
2025,330,phev,2
2025,335,ice,5016
2025,335,phev,168
2025,340,ice,97
2025,340,phev,1
2025,345,ice,96
2025,350,ice,578
2025,350,phev,22
2025,355,ice,219
2025,360,ice,249
2025,360,phev,9
2025,365,ice,321
2025,365,phev,2
2025,370,ice,80
2025,370,phev,49
2025,375,ice,275
2025,380,ice,59
2025,385,ice,19
2025,390,ice,812
2025,395,ice,50
2025,400,ice,63
2025,400,phev,1
2025,405,ice,10
2025,405,phev,1
2025,410,ice,21
2025,415,ice,12
2025,420,ice,22
2025,425,ice,1
2025,435,ice,3
2025,440,ice,14
2025,445,ice,3
2025,450,ice,3
2025,455,ice,62
2025,460,ice,12
2025,465,ice,1
2025,470,ice,5
2025,475,ice,2
2025,480,ice,1
2025,485,ice,1
2025,495,ice,5
2025,500,ice,2
