model,scenario,category,imp,ghg_2030,ghg_2050,cut_2030,cut_2040,cut_2050,netzero_co2,cumulative_co2,peak_warming,warming_2100
REMIND-MAgPIE 2.1-4.2,NGFS2_Nationally Determined Contributions (NDCs),C5,non-IMP,55.462616179302557,41.830010803734751,-1.28810585313555,10.628772443544401,23.60831756602925,,1924.7624591077999,2.2659337785247859,2.2589946889139081
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,C1,non-IMP,28.770970001690809,8.9377209461576772,46.955195288274354,70.337727978452747,83.521596173887374,2051,466.11170324863639,1.5398043034103459,1.3677959874951331
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-95th,C1,non-IMP,27.114553337850811,8.7035199904976768,49.970105982468773,71.118653403540904,83.940868312360806,2050,445.94448803297342,1.5236878583394831,1.3425450967770809
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-median,C1,non-IMP,27.320498695130809,8.5861227507176778,49.594714936295418,71.313782786111773,84.158928807583706,2050,446.23344948301599,1.525026779352425,1.3453728358315
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-NPi,C5,non-IMP,48.95273244455062,36.835618699518449,10.466558735555539,19.364285576967159,32.628485917338409,,1762.7324568734259,2.041722505272173,2.0244351963208538
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,32.743338969228212,9.5202984049002204,40.318401239410953,65.543570195670412,82.64726056141356,2067,647.90999873336455,1.55388288492077,1.1686257228533219
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,non-IMP,51.707350850242577,32.766819733939244,6.7459481224002849,23.210995840794691,40.905139074275503,,1464.084820120532,2.040761187056829,1.9946090300722721
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,C5,non-IMP,54.537150225307137,47.51119671307827,0.95767977381988245,1.132074589476489,13.717179211865711,,2127.2255743991632,2.3981745438928441,2.382314526351712
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,C1,non-IMP,33.04124869622386,9.9257632563298106,39.762068134205542,63.36049738061832,81.904211422277953,2054,551.33381515046983,1.580870829502971,1.175782914061656
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,non-IMP,54.420733027171892,41.614637357812512,1.1036535021247089,15.584503760976981,24.375594252528838,,2077.2154708972521,2.4674260450395291,2.4674260450395291
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,C7,non-IMP,59.593334883782653,64.7546478022727,-8.7389227682844162,-13.930421698197719,-18.156680776309059,,3769.61474859185,3.3376732301146981,3.3376732301146981
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,C1,non-IMP,34.961163140140663,10.75245171145961,36.261847046192237,62.320641128052792,80.397064906957567,2053,550.11381606542614,1.6061622654715331,1.3731411069371331
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,C3,non-IMP,35.17728357837801,14.365568505538491,37.749507216035511,61.771596095565357,74.578374802617304,2087,688.80720510994593,1.6255254577850979,1.518011469510486
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1300,C3,non-IMP,40.306049589803862,17.41506703993041,29.07539494258025,55.094548926842791,69.355549243208216,,886.47927054050058,1.68817811812105,1.6275711403551321
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,Ren,29.647370300483448,10.35784397250341,47.838124904883458,70.40024008772194,81.776307373216909,2057,506.09792886614957,1.570226117013843,1.404114405882136
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Base,C7,non-IMP,64.809067635753408,70.32824974611124,-13.062694171119279,-19.87098771955991,-22.691186321712252,,3627.3771717777981,3.400756698236918,3.400756698236918
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Npi,C7,non-IMP,63.490970274230733,67.718195680925504,-11.61186149147302,-17.554347631520361,-19.042973262917279,,3395.9249791587181,3.3394004980259702,3.3394004980259702
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,C2,non-IMP,39.816176174625532,14.12557871841156,29.94702776886405,55.912310907541688,75.14731777934432,2059,702.17820598183675,1.669042321175328,1.449663841168112
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1300,C3,non-IMP,46.056196106537023,20.140487344319951,18.670984849128558,44.882507141447761,64.434622508052939,2070,897.66008217748936,1.751070566872166,1.609943515829712
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,C1,non-IMP,31.984018900932139,6.5750031574100181,43.534329206385863,68.591645986313125,88.392266622176507,2048,515.11174055484184,1.5797287959883459,1.2317070627373561
REMIND-Transport 2.1,Transport_Budg1100_Conv,C3,non-IMP,35.266044926119783,14.88403318291849,35.847707818064443,59.326700170690224,72.92452704587221,,727.44810143565348,1.620669704672834,1.52860352875077
REMIND-Transport 2.1,Transport_Budg1100_Conv-LowD,C3,non-IMP,36.134478747134821,14.99921872155012,34.595301438646793,59.167442334545072,72.850877800013151,,727.53823767756614,1.628053589140388,1.5335508509120519
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,C3,non-IMP,40.337416212544248,15.879429751077179,26.368103906945478,54.592469597086371,71.013698168286183,2074,743.34311490833716,1.6558035691773141,1.549799876110719
REMIND-Transport 2.1,Transport_Budg1100_ElecPush,C3,non-IMP,37.581559300274819,14.667009869210119,31.97603389546623,58.372511142350227,73.452187701250722,,728.48976309061231,1.63516809982306,1.5339884009372611
REMIND-Transport 2.1,Transport_Budg1100_ElecPush-LowD,C3,non-IMP,37.788143970474827,14.790286470020121,31.602108255736351,58.355474522530429,73.229052645890732,2096,726.71496065987424,1.637802697887063,1.5333827971885901
REMIND-Transport 2.1,Transport_Budg1100_H2Push,C3,non-IMP,36.131583725404823,14.870430968730121,34.600541531492873,58.963881254840381,73.083988237568704,,725.14640126063307,1.6278872995593521,1.5330290856085991
REMIND-Transport 2.1,Transport_NDC_Conv,C6,non-IMP,56.48665153810542,48.049727381374403,-2.6150976055233608,8.7502358864347975,12.711634857088971,,2674.2044786015031,2.7317862573885301,2.7317862573885301
REMIND-Transport 2.1,Transport_NPi_Conv,C7,non-IMP,62.844095134806238,71.574604069336047,-13.86483362631895,-19.262965861979339,-29.68331180109254,,4341.512694218497,3.5206456903688981,3.5206456903688981
TIAM-ECN 1.1,EN_INDCi2030_1000,C3,non-IMP,49.854741066586598,16.549262121082322,10.036158942576259,48.491365044866797,70.136537564397599,2068,870.21514903265859,1.6495684967004911,1.637176013276586
TIAM-ECN 1.1,EN_INDCi2030_1000_COV,C3,non-IMP,49.794625852406597,16.61149699157631,10.12082284107796,48.955781618202963,70.016288797787425,2067,867.55736712640521,1.652986537480392,1.64538516027288
TIAM-ECN 1.1,EN_INDCi2030_1000_NDCp,C3,non-IMP,49.961561985586613,16.590530584411319,9.8397141958012266,48.659459239485173,70.060844383421198,2068,871.24498612061564,1.650298165514992,1.637785925383018
TIAM-ECN 1.1,EN_INDCi2030_1000f,C3,non-IMP,50.01777732965212,23.923831160229401,10.199549273819351,36.05609324096875,57.047855063083261,2070,1053.7721367161489,1.6905680757985559,1.614585224021774
TIAM-ECN 1.1,EN_INDCi2030_1000f_COV,C3,non-IMP,50.742929060786402,25.282201344974869,8.5599380126814708,33.908557282989918,54.440823560047313,2070,1056.0587385157601,1.710438962578503,1.636264283431963
